timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520507460309,21039,HTTP Request,200,,Thread Group 1-81,text,true,,161,118,100,100,21006,0,9403
1520507504600,5577,HTTP Request,200,,Thread Group 1-63,text,true,,161,118,100,100,5576,0,0
1520507460214,21134,HTTP Request,200,,Thread Group 1-99,text,true,,161,118,100,100,20966,0,11193
1520507504584,5595,HTTP Request,200,,Thread Group 1-100,text,true,,161,118,100,100,5594,0,10
1520507460309,21039,HTTP Request,200,,Thread Group 1-33,text,true,,161,118,100,100,20775,0,8067
1520507504598,5585,HTTP Request,200,,Thread Group 1-56,text,true,,161,118,100,100,5585,0,1
1520507460311,21037,HTTP Request,200,,Thread Group 1-21,text,true,,161,118,100,100,20747,0,8064
1520507482001,28185,HTTP Request,200,,Thread Group 1-18,text,true,,161,118,100,100,28185,0,7
1520507460308,21420,HTTP Request,200,,Thread Group 1-27,text,true,,161,118,100,100,21419,0,8948
1520507501366,8825,HTTP Request,200,,Thread Group 1-90,text,true,,161,118,100,100,8825,0,3207
1520507460213,21135,HTTP Request,200,,Thread Group 1-96,text,true,,161,118,100,100,20921,0,10938
1520507500960,9231,HTTP Request,200,,Thread Group 1-61,text,true,,161,118,100,100,9230,0,1
1520507460215,21133,HTTP Request,200,,Thread Group 1-52,text,true,,161,118,100,100,20858,0,8167
1520507500956,9246,HTTP Request,200,,Thread Group 1-36,text,true,,161,118,100,100,9246,0,1
1520507460098,21250,HTTP Request,200,,Thread Group 1-32,text,true,,161,118,100,100,20755,0,8952
1520507494449,15754,HTTP Request,200,,Thread Group 1-51,text,true,,161,118,100,100,15753,0,0
1520507460214,21133,HTTP Request,200,,Thread Group 1-95,text,true,,161,118,100,100,19256,0,8591
1520507504579,5641,HTTP Request,200,,Thread Group 1-41,text,true,,161,118,100,100,5641,0,1
1520507460215,32922,HTTP Request,200,,Thread Group 1-46,text,true,,161,118,100,100,32922,0,8150
1520507482325,27896,HTTP Request,200,,Thread Group 1-42,text,true,,161,118,100,100,27896,0,115
1520507460089,33053,HTTP Request,200,,Thread Group 1-54,text,true,,161,118,100,100,33052,0,9094
1520507493185,17036,HTTP Request,200,,Thread Group 1-28,text,true,,161,118,100,100,17036,0,1
1520507494206,22232,HTTP Request,200,,Thread Group 1-47,text,true,,161,118,100,100,22232,0,136
1520507499423,10764,HTTP Request,200,,Thread Group 1-37,text,true,,161,118,100,100,10764,0,1
1520507482002,34619,HTTP Request,200,,Thread Group 1-10,text,true,,161,118,100,100,34580,0,2042
1520507494474,15751,HTTP Request,200,,Thread Group 1-11,text,true,,161,118,100,100,15751,0,125
